,years_exp
2103,1
6250,0
4116,2
6177,0
5870,0
4297,2
1347,6
5381,1
1023,8
5300,1
608,9
3925,3
3396,3
3956,0
6343,0
3199,3
1850,1
6487,0
2355,4
257,7
2817,0
1952,5
3210,3
4148,2
5781,1
4888,0
1746,1
3124,0
2041,2
2286,1
4211,2
WAS,
1294,4
2050,5
256,14
1216,7
3126,0
1154,4
4981,1
4440,2
4614,2
2782,0
4237,2
3573,3
1191,7
1399,6
1080,7
3756,3
2874,1
2383,4
6374,0
2025,5
6160,0
1707,3
3114,0
199,14
2333,4
929,8
4218,2
2446,4
6333,0
2653,4
1369,6
5527,1
4720,2
2288,1
909,8
4712,0
6527,0
4282,2
789,4
3443,1
3364,3
4861,2
5076,1
6631,0
3046,4
6667,0
4522,2
1196,7
6031,0
1583,6
533,9
2657,1
2358,4
1450,3
6526,0
3999,0
2316,4
3789,0
1275,7
3260,3
3248,3
516,9
4244,2
5682,1
3654,3
4376,2
3871,0
3605,3
3891,3
5312,1
5990,0
4097,2
916,8
1572,6
4072,2
5598,0
577,5
3097,0
2788,1
6254,0
751,10
5661,1
484,10
2889,0
4404,2
4423,2
2448,4
4860,2
2688,4
2727,0
4089,2
1168,7
ARI,
4574,2
5255,1
4373,2
3405,3
6068,0
6572,0
6279,0
3253,3
4001,2
2856,1
2634,4
670,12
2907,1
111,13
1461,6
6446,0
3349,2
3904,0
5701,1
2145,1
3404,3
2071,5
5469,1
2656,1
2370,4
2239,1
175,11
1666,6
5671,1
5602,1
4036,2
2156,5
6618,0
6271,0
408,11
1768,1
311,9
2313,4
2560,4
61,9
6050,0
2752,0
2392,4
2711,4
2454,4
5208,0
753,7
6311,0
1860,5
3187,3
2899,1
3212,3
837,8
5163,1
695,12
1285,4
5609,1
2266,5
4179,2
2884,1
6564,0
2702,1
3626,0
6349,0
4014,0
304,11
5804,1
4631,2
2119,0
5864,0
3655,1
4606,2
5546,1
6627,0
1856,5
3877,0
58,12
3130,0
590,6
320,12
754,9
4735,2
4761,2
5756,1
923,8
945,3
830,8
6581,0
5384,1
1015,4
2075,5
1985,2
4375,2
769,7
1385,1
1440,4
1155,3
1791,5
5478,1
1754,6
2567,0
936,8
2806,4
2982,4
6089,0
4599,2
4009,0
6188,0
5644,0
1406,1
5081,1
562,6
5674,1
3708,1
3116,0
6098,0
3852,3
5684,1
5725,1
986,8
